utc,date,time,open,high,low,close,volume
1584921600000,2020-03-23,00:00:00,6500,6838,5858,5873,125788078.4440000057
1585526400000,2020-03-30,00:00:00,5873,7230.5,5841.5,6771,772774230
1586131200000,2020-04-06,00:00:00,6771,7458.5,6741.5,6901,770269048.118999958
1586736000000,2020-04-13,00:00:00,6901,7289,6465.5,7118.5,814362849.3609999418
1587340800000,2020-04-20,00:00:00,7118.5,7743.5,6750,7691.5,852201770.9559999704
1587945600000,2020-04-27,00:00:00,7691.5,9458,7624,8895,1417003849.7400000095
1588550400000,2020-05-04,00:00:00,8895,10059.5,8153,8725,2001656659.0999999046
1589155200000,2020-05-11,00:00:00,8725,9940,8182,9675,1433378997.9000000954
1589760000000,2020-05-18,00:00:00,9675,9957.5,8690,8710,888900504.5700000525
1590364800000,2020-05-25,00:00:00,8710,9735,8640.5,9449.5,726723322.5959999561
1590969600000,2020-06-01,00:00:00,9449.5,10352,9288,9741,692279193.6360000372
1591574400000,2020-06-08,00:00:00,9741,9995,9100.5,9340,464274242.4200000167
1592179200000,2020-06-15,00:00:00,9340,9584.5,8906.5,9295,448687226.8450000286
1592784000000,2020-06-22,00:00:00,9295,9782,8840,9120,535658986.5582671762
1593388800000,2020-06-29,00:00:00,9120,9289,8910,9074,389003232.9520074129
1593993600000,2020-07-06,00:00:00,9074,9466.5,9063,9295,433923773.8537916541
1594598400000,2020-07-13,00:00:00,9295,9335.5,9045.5,9203,368854592.6629999876
1595203200000,2020-07-20,00:00:00,9203,10138,9134,9922.5,625443662.4974999428
1595808000000,2020-07-27,00:00:00,9922.5,12113.5,9922.5,11073,1937361733.493999958
1596412800000,2020-08-03,00:00:00,11073,11916.5,10943.5,11686.5,812652588.1529999971
1597017600000,2020-08-10,00:00:00,11686.5,12063,11144,11914.5,1258566523.1099998951
1597622400000,2020-08-17,00:00:00,11914.5,12499.5,11391,11660,780513660.5199999809
1598227200000,2020-08-24,00:00:00,11660,11826,11125,11710,445830403.6200000048
1598832000000,2020-08-31,00:00:00,11710,12066,9834,10255.5,744824947.3289999962
1599436800000,2020-09-07,00:00:00,10255.5,10572.5,9838,10320,373542018.2400000095
1600041600000,2020-09-14,00:00:00,10320,11168,10250,10912,352238585.2480000257
1600646400000,2020-09-21,00:00:00,10912,10977,10140,10770,392755998.1499999762
1601251200000,2020-09-28,00:00:00,10770,10951.5,10392,10666,336852694.7239999771
1601856000000,2020-10-05,00:00:00,10666,11490,10531,11374,430473973.1819999814
1602460800000,2020-10-12,00:00:00,11374,11729,11200,11492,419942904.9399999976
1603065600000,2020-10-19,00:00:00,11492,13360,11406.5,13024.5,1005721295.4494999647
1603670400000,2020-10-26,00:00:00,13024.5,14120,12769,13750,1352068547.5
1604275200000,2020-11-02,00:00:00,13750,15976,13207,15481.5,2292868917.7740001678
1604880000000,2020-11-09,00:00:00,15481.5,16464.5,14825,15939.5,2155427048.5240001678
1605484800000,2020-11-16,00:00:00,15939.5,18981.5,15866,18421.5,4081533175.804500103
1606089600000,2020-11-23,00:00:00,18421.5,19531,16202,18179,3682000437.8220000267
1606694400000,2020-11-30,00:00:00,18179,19948,18090.5,19366,3006062425.9580001831
1607299200000,2020-12-07,00:00:00,19366,19431,17567,19177,2179463288.5120000839
1607904000000,2020-12-14,00:00:00,19177,24344,19017.5,23468.5,4454679311.967499733
1608508800000,2020-12-21,00:00:00,23468.5,28468,21959,26266.5,5287258014.1289997101
1609113600000,2020-12-28,00:00:00,26266.5,34820,25930,32963,6787003149.170999527
1609718400000,2021-01-04,00:00:00,32963,42100,27923,38169.5,10650896672.5599994659
1610323200000,2021-01-11,00:00:00,38169.5,40076,30427,35871.5,9902854455.591999054
1610928000000,2021-01-18,00:00:00,35871.5,37920,28913.5,32224.5,5494456547.1180000305
1611532800000,2021-01-25,00:00:00,32224.5,38632,29273,33128,8877094066.0559997559
1612137600000,2021-02-01,00:00:00,33128,40950,32344.5,38825.5,6654715587.1455001831
1612742400000,2021-02-08,00:00:00,38825.5,49834,38061,48689.5,10642615374.8980007172
1613347200000,2021-02-15,00:00:00,48689.5,58399,45712.5,57459,8732033542.6259994507
1613952000000,2021-02-22,00:00:00,57459,57556,43080,45156,11824828050.0240001678
1614556800000,2021-03-01,00:00:00,45156,52622,44983,50946.5,8958605829.0464992523
